county_fips,epg_natural_gas,clean_energy_jobs,grid_infrastructure_jobs,any_tech_1000_100_coverage,any_tech_100_20_coverage,cable_fiber_100_20_coverage,fiber_100_20_coverage,fiber_availability,high_speed_wired_coverage,land_value_1_4_acre_standardized,commercial_price,industrial_price,num_datacenters
17171,5.0,15.0,45.65222142304046,0.5718,1.0,0.7973,0.572,0.5718,0.5718,,0.1022145441239824,0.0439740931278871,0.0
17173,5.0,139.08357195893882,83.4998715184332,0.3642,1.0,0.9716,0.1852,0.1797,0.3642,25100.0,0.1179668248193499,0.0783196983540079,0.0
17175,5.0,15.0,20.0,0.411,1.0,0.8542,0.411,0.411,0.411,,0.1114443715491278,0.0527450805679173,0.0
17177,5.0,86.48672816155172,20.0,0.3069,1.0,0.8508,0.1803,0.1778,0.3069,15700.0,0.0756625763081545,0.043683119617764,0.0
17179,12.471797214295462,88.40372746844494,162.95922364924522,0.2043,0.9999,0.73,0.3924,0.2043,0.2043,35300.0,0.1070808499030747,0.051753830969035,1.0
17181,5.0,84.58638050212672,74.51679587379363,0.3269,1.0,0.6952,0.3271,0.3269,0.3269,17500.0,0.1065544323887596,0.0383895579880088,0.0
17183,5.0,28.857052678102296,85.10385465940533,0.0579,1.0,0.944,0.0719,0.053,0.0579,29800.0,0.1157374698911767,0.0670540667903115,0.0
17185,5.0,15.0,153.52534105729404,0.4602,0.9999,0.8865,0.2107,0.1967,0.4602,-2400.0,0.1291090823159592,0.0873266272171738,0.0
17187,5.0,15.0,20.0,0.1038,0.9998,0.188,0.104,0.1038,0.1038,24500.0,0.1019163294106198,0.0432834347193483,0.0
17189,5.0,15.0,20.0,0.0159,1.0,0.5527,0.0159,0.0159,0.0159,12900.0,0.1095989390428736,0.0575124556535178,0.0
17191,5.0,15.0,104.8911628272728,0.6593,0.9999,0.6957,0.6287,0.6268,0.647,,0.109546315826996,0.0640798845803435,0.0
17193,5.0,76.96658759418922,49.6795255075325,0.1867,1.0,0.5077,0.1867,0.1867,0.1867,2400.0,0.1094260200713483,0.0609490781845449,0.0
17195,5.0,31.16952292691116,28.616910607480246,0.2006,0.9997,0.6324,0.2019,0.2006,0.2006,44900.0,0.077470319625072,0.0448721734596442,0.0
17197,310.7520394570424,357.2979892001801,2636.0723091883124,0.1799,1.0,0.7566,0.1806,0.1799,0.1799,186700.0,0.0773395860647005,0.043466151331602,1.0
17199,47.71636361657326,59.37377420752976,260.96652717759434,0.383,1.0,0.4035,0.307,0.3069,0.383,81400.0,0.109714606244388,0.0515595036509788,0.0
17201,40.109919425067346,107.87832572451283,1004.450527519092,0.3229,0.9998,0.6925,0.323,0.3229,0.3229,42800.0,0.0814512944718436,0.0494685668486976,1.0
17203,5.0,27.285694320046197,115.66626191616808,0.367,1.0,0.7226,0.3655,0.3654,0.367,18700.0,0.1052471091651341,0.0495030018321756,0.0
17999,99.17645379124416,503.7750430849161,1229.3800167438649,0.1395,1.0,0.2407,0.1395,0.1395,0.1395,,,,
18001,32.483109290902945,41.20244781720313,38.71042663442704,0.7355,1.0,0.7645,0.7355,0.7355,0.7355,54500.0,0.1224311353682082,0.0897768472218847,0.0
18003,5.0,450.3698084184829,644.394258989523,0.7776,0.9999,0.9714,0.7774,0.7771,0.7776,94600.0,0.1152440614223865,0.0779270587185878,16.0
18005,5.0,50.78930627871434,182.27438753518612,0.0,0.9999,0.5015,0.004,0.0,0.0,82200.0,0.1209190167630834,0.0906182756776619,0.99677567941041
18007,5.0,90.92892615390195,24.702817877562275,0.5455,1.0,0.7387,0.5455,0.5455,0.5455,,0.1530457058719456,0.0656008302648406,0.0
18009,5.0,15.0,28.088308463491664,0.1387,1.0,0.9036,0.1423,0.1387,0.1387,,0.1139236539045545,0.0804201480586895,0.0
18011,5.0,134.7916724473364,173.79161268472268,0.6376,1.0,0.6452,0.6383,0.6376,0.6376,128300.0,0.1176047738470958,0.0573296817988307,0.0113293051359516
18013,5.0,15.0,20.0,0.6126,1.0,0.9274,0.559,0.5582,0.6126,188100.0,0.1277680282827173,0.0936763094119741,0.00322432058959
18015,5.0,15.0,38.41772764208183,0.6268,1.0,0.7655,0.6282,0.6268,0.6268,94400.0,0.1175960763791958,0.0863370392545411,0.0
18017,5.0,28.97469855475549,86.60614099186579,0.4063,1.0,0.424,0.3449,0.3449,0.4063,56200.0,0.1155675942923283,0.0853383741104464,0.0
18019,5.0,55.91338133056487,205.28355773389623,0.3433,0.9999,0.795,0.3435,0.3433,0.3433,95800.0,0.1164367691098257,0.102739947858951,1.0
18021,5.0,20.91142650508101,20.0,0.2007,0.9992,0.2007,0.2007,0.2007,0.2007,27800.0,0.1238324970322283,0.0927675479373372,0.0
18023,5.0,15.0,20.0,0.9934,1.0,0.9936,0.9934,0.9934,0.9934,67300.0,0.1164148779903654,0.0728979892892045,0.0
18025,5.0,21.085859475705547,41.73808956417196,0.0418,0.9999,0.2662,0.0521,0.0418,0.0418,,0.1308134508637599,0.0963908811541902,0.0
18027,5.0,26.803424725280376,89.70720672318197,0.2407,1.0,0.4176,0.2448,0.2407,0.2407,61500.0,0.1283004042903047,0.0890725072496689,0.0
18029,5.0,21.58791980599941,73.91823116843733,0.0058,0.9999,0.6011,0.0062,0.0058,0.0058,92500.0,0.1251620069663476,0.0871090303958487,0.0
18031,5.0,15.0,48.35033486567708,0.8207,1.0,0.9173,0.7559,0.7463,0.8187,60800.0,0.1260405361634465,0.087439628268653,0.0
18033,5.0,54.3973322051835,20.0,0.6916,1.0,0.9234,0.603,0.6029,0.6916,69300.0,0.12604482731314,0.0794305301158199,0.0
